 from,to,position,time
lp,Paris_Opera,Première_Danseuse,2010
lp,Paris_Opera,Étoile,2012
lp,Buenos_Aires,Ausbildung,1993
sep,Seoul_University,Ausbildung,1999
sep,New_York,Ausbildung,2007
sep,Seoul_Ballet,Company,2009
sep,Seoul_Ballet,Solist,2010
sep,Paris_Opera,Corps_de_Ballett,2011
sep,Paris_Opera,Coryphée,2013
sep,Paris_Opera,Sujet,2014
sep,Paris_Opera,Première_Danseuse,2017
sep,Paris_Opera,Étoile,2021
rs,Paris_Opera,Ausbildung,2007
he,Zuerich_Schule,Ausbildung,2006
he,Stuttgart_Schule,Ausbildung,2013
he,Stuttgart_Ballett,Eleve,2018
he,Stuttgart_Ballett,Corps_de_Ballett,2019
he,Stuttgart_Ballett,Halbsolist,2021
he,Stuttgart_Ballett,Solist,2023
he,Stuttgart_Ballett,Erster_Solist,2024
gf,Taquara,Ausbildung,NA
gf,Sao_Paulo,Ausbildung,2010
gf,Stuttgart_Schule,Ausbildung,2014
gf,Stuttgart_Ballett,Corps_de_Ballett,2019
gf,Stuttgart_Ballett,Halbsolist,2021
gf,Stuttgart_Ballett,Solist,2023
gf,Stuttgart_Ballett,Erster_Solist,2024
dm,Ipswich,Ausbildung,1998
dm,London_School,Ausbildung,2000
dm,Stuttgart_Ballett,Gruppentaenzer,2007
dm,Stuttgart_Ballett,Halbsolist,2010
dm,Stuttgart_Ballett,Solist,2013
dm,Stuttgart_Ballett,Erster_Solist,2014
mp,Montbrio_del_Camp,Ausbildung,2001
mp,Stuttgart_Schule,Ausbildung,2011
mp,Stuttgart_Ballett,Corps_de_Ballett,2013
mp,Stuttgart_Ballett,Eleve,2014
mp,Stuttgart_Ballett,Halbsolist,2016
mp,Stuttgart_Ballett,Solist,2017
mp,Stuttgart_Ballett,Erster_Solist,2021
jr,Toronto,Ausbildung,NA
jr,Stuttgart_Ballett,Corps_de_Ballett,1997
jr,Stuttgart_Ballett,Halbsolist,2001
jr,Stuttgart_Ballett,Solist,2002
jr,Stuttgart_Ballett,Erster_Solist,2003
jr,Stuttgart_Theater,Kammertaenzer,2015
ass,Goiania_Centro,Ausbildung,NA
ass,Goiania_CEP,Ausbildung,NA
ass,Stuttgart_Schule,Ausbildung,NA
ass,Stuttgart_Ballett,Corps_de_Ballett,2015
ass,Stuttgart_Ballett,Solist,2017
ass,Stuttgart_Ballett,Erster_Solist,2018
fv,Stuttgart_Schule,Ausbildung,1988
fv,Monaco,Ausbildung,1994
fv,Stuttgart_Ballett,Corps_de_Ballett,1998
fv,Stuttgart_Ballett,Halbsolist,2000
fv,Stuttgart_Ballett,Solist,2001
fv,Stuttgart_Ballett,Erster_Solist,2002
fv,Stuttgart_Theater,Kammertaenzer,2015
rs,Paris_Opera,Corps_de_Ballett,2013
rs,Paris_Opera,Coryphée,2015
rs,Paris_Opera,Sujet,2018
rs,Paris_Opera,Première_Danseuse,2022
rs,Paris_Opera,Étoile,2024
mba,London_School,Ausbildung,2004
mba,London_Ballett,Corps_de_Ballett,2013
mba,London_Ballett,Halbsolist,2015
mba,London_Ballett,Solist,2016
mba,London_Ballett,Erster_Solist,2017
mba,London_Ballett,Principal_Dancer,2018
wb,Swansea,Ausbildung,NA
wb,London_School,Ausbildung,2002
wb,Birmingham_Ballett,Corps_de_Ballett,2010
wb,Birmingham_Ballett,Halbsolist,2012
wb,Birmingham_Ballett,Solist,2014
wb,London_Ballett,Solist,2017
wb,London_Ballett,Erster_Solist,2018
wb,London_Ballett,Principal_Dancer,2022
rc,Coatbridge,Ausbildung,1998
rc,London_School,Ausbildung,2006
rc,London_Ballett,Corps_de_Ballett,2013
rc,London_Ballett,Halbsolist,2016
rc,London_Ballett,Solist,2017
rc,London_Ballett,Erster_Solist,2020
rc,London_Ballett,Principal_Dancer,2022
cc,Toronto,Ausbildung,2008
cc,New_York,NA,2014
cc,London_English_Ballett,NA,2015
cc,London_Ballett,Erster_Solist,2018
cc,London_Ballett,Principal_Dancer,2021
lc,London_School,Ausbildung,1995
lc,London_Ballett,Corps_de_Ballett,2002
lc,London_Ballett,Solist,2003
lc,London_Ballett,Erster_Solist,2006
lc,London_Ballett,Principal_Dancer,2008
mha,Lisburn,Ausbildung,1993
mha,Birmingham_School,Ausbildung,2005
mha,London_Ballett,Corps_de_Ballett,2007
mha,London_Ballett,Halbsolist,2009
mha,London_Ballett,Solist,2010
mha,London_Ballett,Erster_Solist,2013
mha,London_Ballett,Principal_Dancer,2024
mha,mha,Principal_Dancer,2024
fh,Worthing,Ausbildung,1995
fh,London_School,Ausbildung,2003
fh,London_Ballett,Halbsolist,2013
fh,London_Ballett,Solist,2014
fh,London_Ballett,Erster_Solist,2015
fh,London_Ballett,Principal_Dancer,2016
rh,Tokio_School,Ausbildung,2000
rh,London_Ballett,Corps_de_Ballett,2002
rh,London_Ballett,Halbsolist,2007
rh,London_Ballett,Solist,2008
rh,London_Ballett,Erster_Solist,2012
rh,London_Ballett,Principal_Dancer,2016
fk,Osaka_School,Ausbildung,1999
fk,Osaka_Ballett,Corps_de_Ballett,2010
fk,Osaka_Ballett,Halbsolist,2012
fk,London_Ballett,Solist,2013
fk,London_Ballett,Erster_Solist,2018
